,label,predicted,written
0,1.0,0.25772932171821594,2.0
1,1.0,3.266787528991699,1.0
2,0.0,-2.4293808937072754,0.0
3,1.0,1.477209210395813,1.0
4,1.0,4.203801155090332,1.0
5,1.0,2.11090350151062,2.0
6,0.0,-1.8928380012512207,0.0
7,0.0,-2.1855404376983643,0.0
8,1.0,0.5690460205078125,2.0
9,0.0,-2.827033042907715,0.0
10,1.0,4.661506652832031,2.0
11,0.0,-1.846851110458374,0.0
12,1.0,4.735523223876953,1.0
13,1.0,0.32055243849754333,2.0
14,1.0,4.7037353515625,1.0
15,1.0,3.7790279388427734,1.0
16,1.0,-2.202852725982666,2.0
17,1.0,3.7901761531829834,1.0
18,0.0,-2.306746482849121,0.0
19,1.0,4.699966907501221,1.0
20,0.0,-2.8236029148101807,0.0
21,0.0,0.9261170029640198,0.0
22,1.0,1.7947076559066772,2.0
23,1.0,4.661579132080078,2.0
24,0.0,-1.6904878616333008,0.0
25,1.0,4.24258279800415,1.0
26,1.0,-0.6579752564430237,2.0
27,0.0,1.2431368827819824,0.0
28,0.0,-2.5826528072357178,0.0
29,0.0,-2.6574344635009766,0.0
30,1.0,-1.665138840675354,2.0
31,1.0,4.378129005432129,1.0
32,1.0,-0.7517298460006714,2.0
33,0.0,-0.2841240167617798,0.0
34,0.0,-2.4361724853515625,0.0
35,1.0,-1.6381685733795166,2.0
36,1.0,-0.043851565569639206,1.0
37,0.0,-2.6968698501586914,0.0
38,1.0,4.209102153778076,1.0
39,1.0,3.5944664478302,1.0
40,0.0,-1.2453253269195557,0.0
41,0.0,0.15481865406036377,0.0
42,1.0,4.812274932861328,1.0
43,1.0,1.7577238082885742,1.0
44,0.0,-0.7885289788246155,0.0
45,1.0,1.7598050832748413,2.0
46,1.0,3.813955545425415,1.0
47,1.0,1.1862705945968628,1.0
48,1.0,-1.7131876945495605,1.0
49,1.0,-0.7070973515510559,1.0
50,1.0,4.447821617126465,1.0
51,0.0,-3.2582356929779053,0.0
52,0.0,-2.539898633956909,0.0
53,1.0,-1.265391230583191,2.0
54,1.0,4.358922004699707,1.0
55,1.0,-0.8788692951202393,2.0
56,1.0,0.2796838879585266,2.0
57,1.0,4.236624717712402,1.0
58,0.0,-2.7486274242401123,0.0
59,0.0,-1.858291745185852,0.0
60,1.0,4.752343654632568,1.0
61,1.0,3.012371778488159,1.0
62,0.0,-1.8901256322860718,0.0
63,0.0,-0.5738093256950378,0.0
64,1.0,4.690968036651611,1.0
65,1.0,3.8976001739501953,2.0
66,1.0,-1.107953429222107,2.0
67,0.0,1.8360167741775513,0.0
68,1.0,4.807211875915527,1.0
69,1.0,1.6026297807693481,2.0
70,1.0,-0.9524664878845215,2.0
71,1.0,3.226973295211792,1.0
72,1.0,-0.7552716135978699,2.0
73,0.0,-1.2262650728225708,0.0
74,0.0,-0.31217411160469055,0.0
75,1.0,4.260066986083984,2.0
76,0.0,-1.464328646659851,0.0
77,0.0,-1.199747085571289,0.0
78,1.0,4.299716949462891,1.0
79,1.0,-1.0185189247131348,2.0
80,0.0,-0.5150395631790161,0.0
81,0.0,-1.6413034200668335,0.0
82,0.0,-2.2555673122406006,0.0
83,0.0,0.7935687303543091,0.0
84,0.0,-1.1918987035751343,0.0
85,1.0,4.162789344787598,1.0
86,0.0,-3.3402843475341797,0.0
87,1.0,4.446429252624512,1.0
88,1.0,-0.31987932324409485,2.0
89,1.0,3.410881996154785,2.0
90,1.0,4.201888084411621,1.0
91,1.0,0.15692366659641266,2.0
92,1.0,4.521334171295166,1.0
93,0.0,-2.069943904876709,0.0
94,0.0,-2.5797500610351562,0.0
